Culture,Category,Original Meaning,Affix,Archaic Affix,Archaic Example,Intermediate Example,Modern Example
Old English,Topography,small lake,Pool$,Pol$,Pol-stede,Polstede,Poolstead
Old English,Topography,small port,$hythe,$hyth,Hyth,Hithe,Hythe
Old English,Topography,small wood copse,$shaw,$sceaga,Brere-sceaga,Breshawe,Breshaw
Old English,Topography,spring,$well,$wella,Brad-wella,Bradewelle,Bradwell
Old English,Topography,steep bank,$cliff,$clif,Hwite-clif,Whitclif,Whitcliffe
Old English,Topography,stream,$bourne,$burna,Winter-burna,Winterburne,Winterbourne
Old English,Topography,stream,$brook,$broc,Broc-ham,Brocham,Brookham
Old English,Topography,stream,$burn,$burna,Burn-ham,Burnham,Burnham
Old English,Topography,stream,$fleet,$fleot,Fleot-wic,Fletwic,Fleetwick
Old English,Topography,stream,Brook$,Broc$,Broc-ham,Brocham,Brookham
Old English,Topography,stream,Burn$,Burna$,Burn-ham,Burnham,Burnham
Old English,Topography,stream,Fleet$,Fleot$,Fleot-wic,Fletwic,Fleetwick
Old English,Topography,thicket,$shaw,$sceaga,Brere-sceaga,Breshawe,Breshaw
Old English,Topography,thorn bush,$thorn,$thorn,Thorn-leah,Thornlei,Thornley
Old English,Topography,thorn bush,Thorn$,Thorn$,Thorn-leah,Thornlei,Thornley
Old English,Topography,thorn clearing,$thorn,$thorn,Thorn-leah,Thornlei,Thornley
Old English,Topography,thorn clearing,Thorn$,Thorn$,Thorn-leah,Thornlei,Thornley
Old English,Topography,tidal inlet creek,$fleet,$fleot,Fleot-wic,Fletwic,Fleetwick
Old English,Topography,tidal inlet creek,Fleet$,Fleot$,Fleot-wic,Fletwic,Fleetwick
Old English,Topography,valley,$combe,$cumb,Cumb-cot,Combecote,Coombe
Old English,Topography,valley,$dale,$dael,Deor-dael,Deordale,Dirdale
Old English,Topography,valley,$den,$denu,Aesc-denu,Ashdene,Ashden
Old English,Topography,valley,$dene,$denu,Cumb-denu,Combedene,Combe Dene
Old English,Topography,valley,Combe$,Cumb$,Cumb-cot,Combecote,Coombe
Old English,Topography,wood,$holt,$holt,Aesc-holt,Asholt,Asholt
Old English,Topography,wood,$wood,$wudu,Hara-wudu,Harwode,Harwood
Old English,Topography,wooded clearing,$leigh,$leah,Eofor-leah,Everlei,Everleigh
Old English,Topography,wooded clearing,$ley,$leah,Eofor-leah,Everlei,Everleigh
Old English,Topography,wooded highland,$weald,$weald,Weald-ham,Wealdham,Waltham
Old English,Topography,wooded hill,$hurst,$hyrst,Scir-hyrst,Shirhirst,Sherhurst
Old Finnish,Engineering,village,$kyla,$kyla,Uusi-kyla,Uusikyla,Uusikyla
Old Finnish,Fortification,castle,$linna,$linna,Hame-linna,Hameenlinna,Hameenlinna
Old Finnish,Topography,bay,$lahti,$lahti,Pitka-lahti,Pitkalahti,Pitkalahti
Old Finnish,Topography,bog,$suo,$suo,Musta-suo,Mustasuo,Mustasuo
Old Finnish,Topography,cape,$niemi,$niemi,Kapea-niemi,Kapeaniemi,Kapeaniemi
Old Finnish,Topography,deep forest,$korpi,$korpi,Synkka-korpi,Synkkakorpi,Synkkakorpi
Old Finnish,Topography,field,$pelto,$pelto,Uusi-pelto,Uusipelto,Uusipelto
Old Finnish,Topography,glade,$aho,$aho,Koivu-aho,Koivuaho,Koivaho
Old Finnish,Topography,grove,$lehto,$lehto,Koivu-lehto,Koivulehto,Koivulehto
Old Finnish,Topography,heath,$kangas,$kangas,Hiekka-kangas,Hiekkakangas,Hiekkakangas
Old Finnish,Topography,hill,$maki,$maki,Iso-maki,Isomaki,Isomaki
Old Finnish,Topography,hill,$vaara,$vaara,Korkea-vaara,Korkeavaara,Korkeavaara
Old Finnish,Topography,island,$saari,$saari,Iso-saari,Isosaari,Isosaari
Old Finnish,Topography,lake,$jarvi,$jarvi,Sini-jarvi,Sinijarvi,Sinijarvi
Old Finnish,Topography,marsh,$suo,$suo,Musta-suo,Mustasuo,Mustasuo
Old Finnish,Topography,meadow,$aho,$aho,Koivu-aho,Koivuaho,Koivaho
Old Finnish,Topography,meadow,$niitty,$niitty,Kukka-niitty,Kukkaniitty,Kukkaniitty
Old Finnish,Topography,peninsula,$niemi,$niemi,Kapea-niemi,Kapeaniemi,Kapeaniemi
Old Finnish,Topography,pond,$lampi,$lampi,Pieni-lampi,Pienilampi,Pienlampi
Old Finnish,Topography,rapids,$koski,$koski,Kivi-koski,Kivikoski,Kivikoski
Old Finnish,Topography,river,$joki,$joki,Hieta-joki,Hietajoki,Hietajoki
Old Finnish,Topography,shore,$ranta,$ranta,Hieta-ranta,Hietaranta,Hietaranta
Old Finnish,Topography,small lake,$lampi,$lampi,Pieni-lampi,Pienilampi,Pienlampi
Old Finnish,Topography,strait,$salmi,$salmi,Kapea-salmi,Kapeasalmi,Kapeasalmi
Old Finnish,Topography,wilderness,$korpi,$korpi,Synkka-korpi,Synkkakorpi,Synkkakorpi
Old Finnish,Topography,wooded rise,$vaara,$vaara,Korkea-vaara,Korkeavaara,Korkeavaara
Old French,Engineering,bridge,$pont,$pons,Beau-pont,Beaupont,Beaupont
Old French,Engineering,estate farm,$ville,$ville,Neuve-ville,Neuville,Neuville
Old French,Engineering,port,$port,$portus,Bon-port,Bonport,Bonport
Old French,Engineering,road,$voie,$via,Haute-voie,Hautevoie,Hautvoie
Old French,Engineering,town,$ville,$ville,Neuve-ville,Neuville,Neuville
Old French,Engineering,wagonway,$voie,$via,Haute-voie,Hautevoie,Hautvoie
Old French,Fortification,castle,$chastel,$castellum,Beau-chastel,Beauchastel,Beaucastel
Old French,Fortification,fortified town,$bourg,$burgus,Franc-bourg,Francbourg,Frambourg
Old French,Sacred,church,$eglise,$ecclesia,Haute-eglise,Hauteglise,Hauteglise
Old French,Topography,field,$champ,$campus,Beau-champ,Beauchamp,Beauchamp
Old French,Topography,hill,$mont,$mons,Clair-mont,Clermont,Clermont
Old French,Topography,mountain,$mont,$mons,Clair-mont,Clermont,Clermont
Old French,Topography,river bank,$riviere,$riparia,Haute-riviere,Hauteriviere,Hauterive
Old French,Topography,rock,$roche,$rocca,Haute-roche,Hauteroche,Hauteroche
Old French,Topography,shore,$riviere,$riparia,Haute-riviere,Hauteriviere,Hauterive
Old French,Topography,spring,$font,$fons,Claire-font,Clairefont,Clairefontaine
Old French,Topography,valley,$val,$vallis,Bon-val,Bonval,Bonval
Old French,Topography,wood,$bois,$boscus,Vert-bois,Vertbois,Verbois
Old High German,Engineering,farm,$hof,$hof,Bruno-hof,Brunhof,Brunhof
Old High German,Engineering,home,$heim,$heim,Adal-heim,Adelheim,Adelheim
Old High German,Engineering,manor,$hof,$hof,Bruno-hof,Brunhof,Brunhof
Old High German,Engineering,road,$weg,$weg,Stein-weg,Steinweg,Steinweg
Old High German,Engineering,town,$stadt,$stat,Karl-stat,Karlstat,Karlstadt
Old High German,Engineering,village,$dorf,$dorf,Diet-dorf,Dietdorf,Diedorf
Old High German,Engineering,wagonway,$weg,$weg,Stein-weg,Steinweg,Steinweg
Old High German,Fortification,fortified place,$burg,$burg,Wurz-burg,Wurzburg,Wurzburg
Old High German,Sacred,church,$kirch,$kirihha,Neu-kirihha,Neukirche,Neukirch
Old High German,Topography,borderland,$mark,$marca,Ost-marca,Ostmark,Ostmark
Old High German,Topography,brook,$bach,$bah,Lauter-bah,Lauterbach,Lauterbach
Old High German,Topography,field,$feld,$feld,Rosen-feld,Rosenfeld,Rosenfeld
Old High German,Topography,ford,$furt,$furt,Francono-furt,Frankonofurt,Frankfurt
Old High German,Topography,forest,$wald,$walt,Grun-walt,Grunwald,Grunwald
Old High German,Topography,hill,$berg,$berg,Frei-berg,Friberg,Freiberg
Old High German,Topography,lake,$see,$seo,Boden-seo,Bodensee,Bodensee
Old High German,Topography,march,$mark,$marca,Ost-marca,Ostmark,Ostmark
Old High German,Topography,mountain,$berg,$berg,Frei-berg,Friberg,Freiberg
Old High German,Topography,open land,$feld,$feld,Rosen-feld,Rosenfeld,Rosenfeld
Old High German,Topography,river crossing,$furt,$furt,Francono-furt,Frankonofurt,Frankfurt
Old High German,Topography,river island,$au,$ouwa,Rhein-ouwa,Rheinau,Rheinau
Old High German,Topography,river meadow,$au,$ouwa,Rhein-ouwa,Rheinau,Rheinau
Old High German,Topography,rock,$stein,$stein,Hohen-stein,Hohenstein,Hohenstein
Old High German,Topography,spring,$bronn,$brunno,Heil-brunno,Heilbrunn,Heilbronn
Old High German,Topography,stone,$stein,$stein,Hohen-stein,Hohenstein,Hohenstein
Old High German,Topography,stream,$ach,$aha,Salz-aha,Salzach,Salzach
Old High German,Topography,stream,$bach,$bah,Lauter-bah,Lauterbach,Lauterbach
Old High German,Topography,valley,$tal,$tal,Wiesen-tal,Wiesental,Wiesental
Old High German,Topography,wood,$loh,$loh,Birken-loh,Birkenloh,Birkenlohe
Old Lithuanian,Engineering,bridge,$tiltis,$tiltas,Senas-tiltas,Senatiltas,Sentiltis
Old Lithuanian,Engineering,village,$kaimas,$kaimas,Naujas-kaimas,Naujaskaimas,Naujakimis
Old Lithuanian,Fortification,castle,$pilis,$pilis,Auksta-pilis,Aukstapilis,Aukstapilis
Old Lithuanian,Status,black,Juod$,Juod$,Juod-ezeras,Juodezeras,Juodezeris
Old Lithuanian,Status,white,Balt$,Balt$,Balt-upe,Baltupe,Baltupe
Old Lithuanian,Topography,bog,$pelke,$pelke,Juoda-pelke,Juodapelke,Juodpelke
Old Lithuanian,Topography,field,$laukas,$laukas,Platus-laukas,Platlaukas,Plateliukas
Old Lithuanian,Topography,ford,$brastis,$brasta,Balta-brasta,Baltabrasta,Baltabrastis
Old Lithuanian,Topography,forest,$nisks,$miskas,Senas-miskas,Senamiskas,Seniskis
Old Lithuanian,Topography,hill,$kalnas,$kalnas,Aukstas-kalnas,Aukstakalnas,Aukstakalnis
Old Lithuanian,Topography,island,$sala,$sala,Didzioji-sala,Didziosala,Didziasalis
Old Lithuanian,Topography,lake,$ezeras,$ezeras,Juodas-ezeras,Juodasezeras,Juodezeris
Old Lithuanian,Topography,marsh,$pelke,$pelke,Juoda-pelke,Juodapelke,Juodpelke
Old Lithuanian,Topography,mountain,$kalnas,$kalnas,Aukstas-kalnas,Aukstakalnas,Aukstakalnis
Old Lithuanian,Topography,open ground,$laukas,$laukas,Platus-laukas,Platlaukas,Plateliukas
Old Lithuanian,Topography,pine forest,$silas,$silas,Zalias-silas,Zalisilas,zalisilis
Old Lithuanian,Topography,river,$upe,$upe,Balta-upe,Baltupe,Baltupe
Old Lithuanian,Topography,rock,$akmuo,$akmuo,Didis-akmuo,Didiakmuo,Didakmenis
Old Lithuanian,Topography,stone,$akmuo,$akmuo,Didis-akmuo,Didiakmuo,Didakmenis
Old Norse,Engineering,enclosure,$garth,$garthr,Saer-garthr,Sayergarth,Sayergarth
Old Norse,Engineering,farm,$by,$'s byr,Grimr's byr,Grimesbi,Grimsby
Old Norse,Engineering,farm,$thorpe,$thorp,Skarp-thorp,Scardetorp,Scunthorpe
Old Norse,Engineering,home,$toft,$toft,Lowis-toft,Lowestoft,Lowestoft
Old Norse,Engineering,hut,$scale,$skali,Saetr-skali,Seterscale,Seterscale
Old Norse,Engineering,hut,$skel,$skali,Orm-skali,Ormeskel,Ormskell
Old Norse,Engineering,plot,$toft,$toft,Lowis-toft,Lowestoft,Lowestoft
Old Norse,Engineering,shelter,$scale,$skali,Saetr-skali,Seterscale,Seterscale
Old Norse,Engineering,shelter,$skel,$skali,Orm-skali,Ormeskel,Ormskell
Old Norse,Engineering,town,$by,$'s byr,Grimr's byr,Grimesbi,Grimsby
Old Norse,Sacred,church,$kirk,$kirkja,Ormr-kirkja,Ormeskirke,Ormskirk
Old Norse,Topography,bay creek,$wick,$vik,Sker-vik,Skervik,Skirwick
Old Norse,Topography,fjord,$firth,$fjord,Straum-fjord,Strumfirth,Strumfirth
Old Norse,Topography,forest clearing,$waite,$thveit,Braith-thveit,Braidewait,Braithwaite
Old Norse,Topography,grove,$lund,$lundr,Eik-lundr,Ekelund,Ekelund
Old Norse,Topography,headland,$ness,$ness,Skeg-ness,Skegness,Skegness
Old Norse,Topography,hill,$howe,$haugr,Orm-haugr,Ormeshou,Ormeshowe
Old Norse,Topography,inlet,$wick,$vik,Sker-vik,Skervik,Skirwick
Old Norse,Topography,island,$ay,$ey,Grims-ey,Grimsey,Grimsay
Old Norse,Topography,island,$holm,$holmr,Grims-holmr,Grimesholm,Grimsholme
Old Norse,Topography,island,$holme,$holmr,Holm-ey,Holmey,Holme
Old Norse,Topography,island,Holme$,Holmr$,Holm-ey,Holmey,Holme
Old Norse,Topography,low meadow,$haugh,$hagi,Grim-hagi,Grimhaugh,Grimhaugh
Old Norse,Topography,mountain,$fell,$fell,Snaefell,Snefell,Snaefell
Old Norse,Topography,narrow valley,$gill,$gil,Raud-gil,Redgil,Redgill
Old Norse,Topography,notch,$scar,$skarth,Skarth,Scard,Scar
Old Norse,Topography,promontory,$ness,$ness,Skeg-ness,Skegness,Skegness
Old Norse,Topography,raised strip of land,$rigg,$hryggr,Lang-hryggr,Langrigg,Langrigg
Old Norse,Topography,ridge,$rigg,$hryggr,Lang-hryggr,Langrigg,Langrigg
Old Norse,Topography,river meadow,$holm,$holmr,Grims-holmr,Grimesholm,Grimsholme
Old Norse,Topography,river meadow,$holme,$holmr,Holm-ey,Holmey,Holme
Old Norse,Topography,river meadow,Holme$,Holmr$,Holm-ey,Holmey,Holme
Old Norse,Topography,rocky cliff gap,$scar,$skarth,Skarth,Scard,Scar
Old Norse,Topography,shallow valley,$slack,$slakki,Grim-slakki,Grimslack,Grimslack
Old Norse,Topography,small mountain lake,$tarn,$tjorn,Lang-tjorn,Langtern,Langtarn
Old Norse,Topography,small stream,$sike,$sik,Myrk-sik,Mirkesike,Miresike
Old Norse,Topography,small wood,$lund,$lundr,Eik-lundr,Ekelund,Ekelund
Old Norse,Topography,spring,$keld,$kelda,Kaldr-kelda,Caldekeld,Caldkeld
Old Norse,Topography,streak,$beck,$bekr,Hol-bekr,Holbeck,Holbeck
Old Norse,Topography,stream,$gill,$gil,Raud-gil,Redgil,Redgill
Old Norse,Topography,valley,$dale,$dalr,Hrafn-dalr,Rafndale,Ravendale
Old Norse,Topography,waterfall,$force,$foss,Aira-foss,Aireforce,Aira Force
Old Norse,Topography,waterfall,$foss,$foss,Wil-foss,Wilfoss,Wilfoss
Old Occitan,Engineering,bridge,$pont,$pont,Nòu-pont,Noupont,Nopont
Old Occitan,Engineering,town,$ville,$vila,Nova-vila,Novavila,Noville
Old Occitan,Fortification,castle,$castel,$castellum,Bel-castel,Belcastel,Belcastel
Old Occitan,Topography,hill,$puech,$pueg,Naut-pueg,Nautpuech,Puech
Old Occitan,Topography,meadow,$prat,$prat,Bel-prat,Belprat,Belprat
Old Occitan,Topography,mountain,$mont,$mont,Clarmont,Clarmont,Clermont
Old Occitan,Topography,spring,$font,$font,Clara-font,Clarafont,Clarefont
Old Occitan,Topography,stream,$riu,$riu,Clar-riu,Clarriu,Clairieu
Old Occitan,Topography,valley,$val,$val,Bon-val,Bonval,Bonval
Old Occitan,Topography,wood,$bosc,$bosc,Verd-bosc,Verdbosc,Verbosc
Old Polish/West Slavic,Engineering,estate,$ow,$ovu,Jan-ovu,Janow,Janów
Old Polish/West Slavic,Engineering,people,$ice,$ici,Kat-ici,Katice,Katowice
Old Polish/West Slavic,Engineering,village,$wies,$vesu,Stara-vesu,Starawies,Stara Wieś
Old Polish/West Slavic,Fortification,fortified town,$grod,$grodh,Nowy-grodh,Nowogrod,Nowogród
Old Polish/West Slavic,Topography,field,$pole,$polje,Opole,Opole,Opole
Old Polish/West Slavic,Topography,forest,$las,$lesu,Bialy-las,Bialylas,Bielas
Old Polish/West Slavic,Topography,open land,$pole,$polje,Opole,Opole,Opole
Old Polish/West Slavic,Topography,river bank,$brzeg,$bergu,Bialy-brzeg,Bialybrzeg,Brzeg
Old Polish/West Slavic,Topography,rock,$kamien,$kamy,Bialy-kamy,Bialykamien,Kamień
Old Polish/West Slavic,Topography,shore,$brzeg,$bergu,Bialy-brzeg,Bialybrzeg,Brzeg
Old Polish/West Slavic,Topography,stone,$kamien,$kamy,Bialy-kamy,Bialykamien,Kamień
Old Prussian,Engineering,settlement,$kaym,$kaimis,Nawa-kaimis,Nawakaym,Nawakaym
Old Prussian,Engineering,village,$kaym,$kaimis,Nawa-kaimis,Nawakaym,Nawakaym
Old Prussian,Fortification,fortified place,$pil,$pils,Tawra-pils,Tawrapil,Taurpil
Old Prussian,Topography,field,$lauks,$lauks,Nawa-lauks,Nawalauks,Nawlauk
Old Prussian,Topography,forest,$median,$median,Swenta-median,Swentamedian,Swentmed
Old Prussian,Topography,hill,$garbis,$garbis,Wysso-garbis,Wissogarbis,Wissgarb
Old Prussian,Topography,river,$ape,$ape,Balta-ape,Baltape,Baltape
Old Prussian,Topography,stream,$ape,$ape,Meln-ape,Melnape,Melnape
Old Slavic,Engineering,bridge,$most,$mosth,Beli-mosth,Belimost,Belmost
Old Slavic,Engineering,village,$selo,$selo,Novo-selo,Novoselo,Novosel
Old Slavic,Fortification,fortified town,$grad,$gradh,Bel-gradh,Belgrad,Belgrade
Old Slavic,Status,black,Chern$,Chrnu$,Chrn-gora,Cernagora,Czernogor
Old Slavic,Status,new,Nov$,Novu$,Nov-gradh,Novgrad,Novgorod
Old Slavic,Status,old,Star$,Staru$,Star-gradh,Starigrad,Stargard
Old Slavic,Status,white,Bel$,Belu$,Bel-gradh,Belgrad,Belgrade
Old Slavic,Topography,field,$polje,$polje,Belo-polje,Belopolje,Belopole
Old Slavic,Topography,ford,$brod,$brodh,Stari-brodh,Staribrod,Starbrod
Old Slavic,Topography,forest,$les,$lesu,Temen-lesu,Temenles,Temles
Old Slavic,Topography,island,$ostrov,$ostrovu,Nov-ostrovu,Novostrov,Novostrov
Old Slavic,Topography,mountain,$gora,$gora,Cerna-gora,Cernagora,Cernagor
Old Slavic,Topography,oak clearing,$dub,$dubu,Zelen-dubu,Zelendub,Zeldub
Old Slavic,Topography,oak grove,$dub,$dubu,Zelen-dubu,Zelendub,Zeldub
Old Slavic,Topography,plain,$polje,$polje,Belo-polje,Belopolje,Belopole
Old Slavic,Topography,river,$reka,$reka,Bela-reka,Belareka,Belrek
Old Slavic,Topography,river bend,$luka,$luka,Velja-luka,Veljaluka,Velika Luka
Old Slavic,Topography,river island,$ostrov,$ostrovu,Nov-ostrovu,Novostrov,Novostrov
Old Slavic,Topography,rock,$kamen,$kamy,Beli-kamy,Belikamen,Belkamen
Old Slavic,Topography,stone,$kamen,$kamy,Beli-kamy,Belikamen,Belkamen
Old Slavic,Topography,valley,$dol,$dolu,Sveti-dolu,Svetidol,Svetdol
Old Slavic,Topography,wooded upland,$gora,$gora,Cerna-gora,Cernagora,Cernagor
Old Spanish/Castilian,Engineering,bridge,$puente,$pons,Nueva-puente,Nuevapuente,Puente Nuevo
Old Spanish/Castilian,Engineering,port,$puerto,$portus,Buen-puerto,Buenpuerto,Puerto Bueno
Old Spanish/Castilian,Engineering,town,$villa,$villa,Nueva-villa,Nuevavilla,Villanueva
Old Spanish/Castilian,Fortification,castle,$castillo,$castellum,Nuevo-castillo,Nuevocastillo,Castillo Nuevo
Old Spanish/Castilian,Fortification,fort,$castro,$castrum,Alto-castro,Altocastro,Castroalto
Old Spanish/Castilian,Fortification,old fortified settlement,$castro,$castrum,Alto-castro,Altocastro,Castroalto
Old Spanish/Castilian,Topography,field,$campo,$campus,Nuevo-campo,Nuevocampo,Campo Nuevo
Old Spanish/Castilian,Topography,mountain,$monte,$mons,Alto-monte,Altomonte,Montelto
Old Spanish/Castilian,Topography,river,$rio,$rivus,Blanco-rio,Blancorio,Rio Blanco
Old Spanish/Castilian,Topography,spring,$fuente,$fons,Clara-fuente,Clarafuente,Fuente Clara
Old Spanish/Castilian,Topography,valley,$valle,$vallis,Nuevo-valle,Nuevovalle,Valnuevo
Old Spanish/Castilian,Topography,wooded hill,$monte,$mons,Alto-monte,Altomonte,Montelto
Old Swedish,Engineering,enclosed farm,$tuna,$tuna,Sig-tuna,Sigtuna,Sigtuna
Old Swedish,Engineering,farm,$by,$by,Ulf-by,Ulfby,Ulvby
Old Swedish,Engineering,farm,$torp,$thorp,Karl-thorp,Karlthorp,Karlstorp
Old Swedish,Engineering,town,$stad,$stadr,Karl-stadr,Karlstad,Karlstad
Old Swedish,Engineering,village,$by,$by,Ulf-by,Ulfby,Ulvby
Old Swedish,Topography,bay,$vik,$vik,Djup-vik,Djupvik,Djupvik
Old Swedish,Topography,grove,$lund,$lund,Eke-lund,Ekelund,Ekelund
Old Swedish,Topography,hill,$berg,$berg,Sund-berg,Sundberg,Sundberg
Old Swedish,Topography,lake,$sjo,$sjór,Stor-sjor,Storsjo,Storsjö
Old Swedish,Topography,mountain,$berg,$berg,Sund-berg,Sundberg,Sundberg
Old Swedish,Topography,rapids,$fors,$fors,Sten-fors,Stenfors,Stenfors
Old Swedish,Topography,river,$a,$a,Svart-a,Svarta,Svartån
Old Swedish,Topography,waterfall,$fors,$fors,Sten-fors,Stenfors,Stenfors
Old Swedish,Topography,wood,$hult,$hult,Ask-hult,Askhult,Askhult
Old West Norse,Engineering,enclosed farm,$gard,$gardr,as-gardr,Asgard,Asgard
Old West Norse,Engineering,farm,$byr,$byr,Grimr-byr,Grimsbyr,Grimsby
Old West Norse,Engineering,farm,$stad,$stadr,Haraldr-stadr,Haraldstad,Harstad
Old West Norse,Engineering,shieling,$saetr,$saetr,Sel-saetr,Selseter,Selset
Old West Norse,Engineering,summer pasture,$saetr,$saetr,Sel-saetr,Selseter,Selset
Old West Norse,Engineering,village,$byr,$byr,Grimr-byr,Grimsbyr,Grimsby
Old West Norse,Topography,bay,$vik,$vik,Breid-vik,Breidvik,Breivik
Old West Norse,Topography,fjord,$fjord,$fjordr,Lang-fjordr,Langfjord,Langfjord
Old West Norse,Topography,headland,$nes,$nes,Lang-nes,Langnes,Langnes
Old West Norse,Topography,island,$ey,$ey,Sand-ey,Sandey,Sanday
Old West Norse,Topography,promontory,$nes,$nes,Lang-nes,Langnes,Langnes
Old West Norse,Topography,sea inlet,$fjord,$fjordr,Lang-fjordr,Langfjord,Langfjord
Old West Norse,Topography,valley,$dal,$dalr,Groen-dalr,Grondal,Grøndal
Old West Norse,Topography,waterfall,$foss,$foss,Hvita-foss,Hvitafoss,Whitefoss
Pictish/Brittonic Substrate,Engineering,estate,Pit$,Pett$,Pett-cairn,Pitcairn,Pitcairn
Pictish/Brittonic Substrate,Fortification,fort,Caer$,Cair$,Cair-carden,Caircarden,Carden
Pictish/Brittonic Substrate,Fortification,fort,Dun$,Dun$,Dun-nechtain,Dunnechtain,Dunnichen
Pictish/Brittonic Substrate,Sacred,church,Eglwys$,Eglwys$,Eglwys-fair,Eglwysfair,Eccles
Pictish/Brittonic Substrate,Topography,mountain,Monid$,Monid$,Monid-ruadh,Monidruadh,Monadh Ruadh
Pictish/Brittonic Substrate,Topography,pond,Linn$,Linn$,Linn-dee,Linndee,Linn Dee
Pictish/Brittonic Substrate,Topography,river mouth,Aber$,Aber$,Aber-deen,Aberdeen,Aberdeen
Pictish/Brittonic Substrate,Topography,small lake,Linn$,Linn$,Linn-dee,Linndee,Linn Dee
Pictish/Brittonic Substrate,Topography,thicket,Carden$,Carden$,Carden-ach,Cardenach,Carden
Pictish/Brittonic Substrate,Topography,upland,Monid$,Monid$,Monid-ruadh,Monidruadh,Monadh Ruadh
Romanian/Aromanian,Engineering,bridge,$pod,$pons,Nou-pod,Noupod,Podnou
Romanian/Aromanian,Engineering,marketplace,$targ,$targ,Nou-targ,Noutarg,Targu Nou
Romanian/Aromanian,Engineering,village,$sat,$sat,Nou-sat,Nousat,Satnou
Romanian/Aromanian,Engineering,well,$fantana,$fontana,Alba-fantana,Albafantana,Fantana Alba
Romanian/Aromanian,Fortification,fortress,$cetate,$civitas,Alba-cetate,Albacetate,Cetatea Alba
Romanian/Aromanian,Topography,field,$camp,$campus,Nou-camp,Noucamp,Campnou
Romanian/Aromanian,Topography,forest,$padure,$padule,Neagra-padure,Neagrapadure,Padurea Neagra
Romanian/Aromanian,Topography,fountain,$fantana,$fontana,Alba-fantana,Albafantana,Fantana Alba
Romanian/Aromanian,Topography,mountain,$munte,$mons,Negru-munte,Negrumunte,Munte Negru
Romanian/Aromanian,Topography,river,$rau,$rivus,Alb-rau,Albrau,Raul Alb
Romanian/Aromanian,Topography,valley,$vale,$vallis,Noua-vale,Nouavale,Valea Noua
Sardinian,Engineering,port,$portu,$portus,Bonu-portu,Bonuportu,Portobono
Sardinian,Engineering,village,$bidda,$villa,Bona-bidda,Bonabidda,Bonabidda
Sardinian,Fortification,stone tower,$nur,$nuraghe,Nur-aru,Nuraru,Nurra
Sardinian,Topography,field,$campu,$campus,Bellu-campu,Bellucampu,Campubellu
Sardinian,Topography,mountain,$monte,$mons,Monte-ruju,Monteruju,Monteruju
Sardinian,Topography,spring,$funtana,$fontana,Bella-funtana,Bellafuntana,Funtanabella
Sardinian,Topography,stream,$arriu,$rivus,Longu-arriu,Longuarriu,Arriulongo
Scottish Gaelic,Engineering,town farmstead,Bal$,Baile $,Baile Ailein,Balallan,Balallan
Scottish Gaelic,Sacred,church,Kil$,Cill $,Cill Mhicheil,Kilmichael,Kilmichael
Scottish Gaelic,Sacred,church,Kilm$,Cill Mo $,Cill MoChalmog,Kilmachalmag,Kilmachalmag
Scottish Gaelic,Sacred,monastic cell,Kil$,Cill $,Cill Mhicheil,Kilmichael,Kilmichael
Scottish Gaelic,Topography,field,Auch$,Achadh $,Achadh nan Leac,Auchinleck,Auchinleck
Scottish Gaelic,Topography,field,Auchen$,Achadh nan $,Achadh nan Leac,Auchenleck,Auchinleck
Scottish Gaelic,Topography,field,Dal$,Dail $,Dail Riata,Dalriada,Dalriada
Scottish Gaelic,Topography,headland,Kin$,Ceann $,Ceann Loch,Kinloch,Kinloch
Scottish Gaelic,Topography,height,Aird$,Aird $,Àird Chlach,Airdclach,Airdclach
Scottish Gaelic,Topography,height,Ard$,Aird $,Àird Fheàrna,Ardfern,Ardfern
Scottish Gaelic,Topography,hill,Knock$,Cnoc $,Cnoc Breac,Knockbreck,Knockbreck
Scottish Gaelic,Topography,hill,Torr$,Tòrr $,Tòrr Donaidh,Torridon,Torridon
Scottish Gaelic,Topography,hill,Tully$,Tulach $,Tulach Ard,Tullyard,Tullyard
Scottish Gaelic,Topography,hollow,Lag$,Lag $,Lag a Mhuilinn,Lagavulin,Lagavulin
Scottish Gaelic,Topography,island,Inch$,Innis $,Innis Chluaidh,Inchclutha,Inch Clutha
Scottish Gaelic,Topography,knoll,Knock$,Cnoc $,Cnoc Breac,Knockbreck,Knockbreck
Scottish Gaelic,Topography,lake,Loch$,Loch $,Loch Aillse,Lochalsh,Lochalsh
Scottish Gaelic,Topography,low place,Lag$,Lag $,Lag a Mhuilinn,Lagavulin,Lagavulin
Scottish Gaelic,Topography,mound,Tully$,Tulach $,Tulach Ard,Tullyard,Tullyard
Scottish Gaelic,Topography,mountain,Ben$,Beinn $,Beinn Nibheis,Ben Nevis,Ben Nevis
Scottish Gaelic,Topography,promontory,Kin$,Ceann $,Ceann Loch,Kinloch,Kinloch
Scottish Gaelic,Topography,raised strip of land,Drum$,Druim $,Druim Albainn,Drumalban,Drumalban
Scottish Gaelic,Topography,ridge,Drum$,Druim $,Druim Albainn,Drumalban,Drumalban
Scottish Gaelic,Topography,river meadow,Inch$,Innis $,Innis Chluaidh,Inchclutha,Inch Clutha
Scottish Gaelic,Topography,river valley,Strath$,Srath $,Srath Spe,Strathspey,Strathspey
Scottish Gaelic,Topography,rock,Craig$,Creag $,Creag Eileachaidh,Craigellachie,Craigellachie
